Category ,Question number,Question,Metric,Plant,Value,Participation,
Senior Leadership,0,Senior Leadership,Unfavourable,Overall,15,11310,
Senior Leadership,2,2. How good is senior leadership at managing change?,Unfavourable,Overall,16,11310,
Senior Leadership,3,3. Senior leadership communicates openly and honestly to employees.,Unfavourable,Overall,14,11310,
Career Advancement,0,Career Advancement,Unfavourable,Overall,16,11310,
Career Advancement,14,14. I think Ball offers long-term opportunities for me.,Unfavourable,Overall,16,11310,
Inclusion,0,Inclusion,Unfavourable,Overall,8,11310,
Inclusion,11,"11. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words.",Unfavourable,Overall,8,11310,
Inclusion,12,12. I feel a strong sense of belonging to my department/team.,Unfavourable,Overall,9,11310,
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,Overall,8,11310,
Manager Effectiveness,9,9. My immediate supervisor/manager treats me with respect.,Unfavourable,Overall,6,11310,
Manager Effectiveness,10,10. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,Overall,10,11310,
Retention Driver,0,Retention Driver,Unfavourable,Overall,15,11310,
Retention Driver,7,"7. At the present time, are you seriously considering leaving Ball?",Unfavourable,Overall,15,11310,
Safety,0,Safety,Unfavourable,Overall,9,11310,
Safety,13,"13. Safety rules are carefully observed, even if it means work is slowed down.",Unfavourable,Overall,9,11310,
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,Overall,14,11310,
Sustainable Engagement,4,4. I believe strongly in the goals and objectives of Ball.,Unfavourable,Overall,7,11310,
Sustainable Engagement,5,5. There are no substantial obstacles at work to doing my job well.,Unfavourable,Overall,19,11310,
Sustainable Engagement,6,6. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,Overall,15,11310,
Vision & Direction,0,Vision & Direction,Unfavourable,Overall,3,11310,
Vision & Direction,8,8. I understand how my work contributes to Ball's business objectives.,Unfavourable,Overall,3,11310,
Senior Leadership,0,Senior Leadership,Unfavourable,1,25,103,
Senior Leadership,2,2. How good is senior leadership at managing change?,Unfavourable,1,28,103,
Senior Leadership,3,3. Senior leadership communicates openly and honestly to employees.,Unfavourable,1,21,103,
Career Advancement,0,Career Advancement,Unfavourable,1,11,103,
Career Advancement,14,14. I think Ball offers long-term opportunities for me.,Unfavourable,1,11,103,
Inclusion,0,Inclusion,Unfavourable,1,11,103,
Inclusion,11,"11. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words.",Unfavourable,1,10,103,
Inclusion,12,12. I feel a strong sense of belonging to my department/team.,Unfavourable,1,13,103,
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,1,7,103,
Manager Effectiveness,9,9. My immediate supervisor/manager treats me with respect.,Unfavourable,1,5,103,
Manager Effectiveness,10,10. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,1,10,103,
Retention Driver,0,Retention Driver,Unfavourable,1,16,103,
Retention Driver,7,"7. At the present time, are you seriously considering leaving Ball?",Unfavourable,1,16,103,
Safety,0,Safety,Unfavourable,1,5,103,
Safety,13,"13. Safety rules are carefully observed, even if it means work is slowed down.",Unfavourable,1,5,103,
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,1,15,103,
Sustainable Engagement,4,4. I believe strongly in the goals and objectives of Ball.,Unfavourable,1,6,103,
Sustainable Engagement,5,5. There are no substantial obstacles at work to doing my job well.,Unfavourable,1,26,103,
Sustainable Engagement,6,6. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,1,14,103,
Vision & Direction,0,Vision & Direction,Unfavourable,1,3,103,
Vision & Direction,8,8. I understand how my work contributes to Ball's business objectives.,Unfavourable,1,3,103,
Senior Leadership,0,Senior Leadership,Unfavourable,2,37,52,
Senior Leadership,2,2. How good is senior leadership at managing change?,Unfavourable,2,35,52,
Senior Leadership,3,3. Senior leadership communicates openly and honestly to employees.,Unfavourable,2,38,52,
Career Advancement,0,Career Advancement,Unfavourable,2,33,52,
Career Advancement,14,14. I think Ball offers long-term opportunities for me.,Unfavourable,2,33,52,
Inclusion,0,Inclusion,Unfavourable,2,17,52,
Inclusion,11,"11. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words.",Unfavourable,2,15,52,
Inclusion,12,12. I feel a strong sense of belonging to my department/team.,Unfavourable,2,19,52,
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,2,12,52,
Manager Effectiveness,9,9. My immediate supervisor/manager treats me with respect.,Unfavourable,2,6,52,
Manager Effectiveness,10,10. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,2,17,52,
Retention Driver,0,Retention Driver,Unfavourable,2,27,52,
Retention Driver,7,"7. At the present time, are you seriously considering leaving Ball?",Unfavourable,2,27,52,
Safety,0,Safety,Unfavourable,2,19,52,
Safety,13,"13. Safety rules are carefully observed, even if it means work is slowed down.",Unfavourable,2,19,52,
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,2,28,52,
Sustainable Engagement,4,4. I believe strongly in the goals and objectives of Ball.,Unfavourable,2,19,52,
Sustainable Engagement,5,5. There are no substantial obstacles at work to doing my job well.,Unfavourable,2,48,52,
Sustainable Engagement,6,6. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,2,17,52,
Vision & Direction,0,Vision & Direction,Unfavourable,2,6,52,
Vision & Direction,8,8. I understand how my work contributes to Ball's business objectives.,Unfavourable,2,6,52,
Senior Leadership,0,Senior Leadership,Unfavourable,3,29,73,
Senior Leadership,2,2. How good is senior leadership at managing change?,Unfavourable,3,34,73,
Senior Leadership,3,3. Senior leadership communicates openly and honestly to employees.,Unfavourable,3,25,73,
Career Advancement,0,Career Advancement,Unfavourable,3,11,73,
Career Advancement,14,14. I think Ball offers long-term opportunities for me.,Unfavourable,3,11,73,
Inclusion,0,Inclusion,Unfavourable,3,8,73,
Inclusion,11,"11. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words.",Unfavourable,3,7,73,
Inclusion,12,12. I feel a strong sense of belonging to my department/team.,Unfavourable,3,8,73,
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,3,9,73,
Manager Effectiveness,9,9. My immediate supervisor/manager treats me with respect.,Unfavourable,3,8,73,
Manager Effectiveness,10,10. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,3,10,73,
Retention Driver,0,Retention Driver,Unfavourable,3,18,73,
Retention Driver,7,"7. At the present time, are you seriously considering leaving Ball?",Unfavourable,3,18,73,
Safety,0,Safety,Unfavourable,3,10,73,
Safety,13,"13. Safety rules are carefully observed, even if it means work is slowed down.",Unfavourable,3,10,73,
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,3,28,73,
Sustainable Engagement,4,4. I believe strongly in the goals and objectives of Ball.,Unfavourable,3,11,73,
Sustainable Engagement,5,5. There are no substantial obstacles at work to doing my job well.,Unfavourable,3,49,73,
Sustainable Engagement,6,6. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,3,25,73,
Vision & Direction,0,Vision & Direction,Unfavourable,3,0,73,
Vision & Direction,8,8. I understand how my work contributes to Ball's business objectives.,Unfavourable,3,0,73,
Senior Leadership,0,Senior Leadership,Unfavourable,4,18,407,
Senior Leadership,2,2. How good is senior leadership at managing change?,Unfavourable,4,19,407,
Senior Leadership,3,3. Senior leadership communicates openly and honestly to employees.,Unfavourable,4,18,407,
Career Advancement,0,Career Advancement,Unfavourable,4,12,407,
Career Advancement,14,14. I think Ball offers long-term opportunities for me.,Unfavourable,4,12,407,
Inclusion,0,Inclusion,Unfavourable,4,8,407,
Inclusion,11,"11. My immediate supervisor/manager's commitment to diversity and inclusion is apparent in action, not just words.",Unfavourable,4,6,407,
Inclusion,12,12. I feel a strong sense of belonging to my department/team.,Unfavourable,4,11,407,
Manager Effectiveness,0,Manager Effectiveness,Unfavourable,4,7,407,
Manager Effectiveness,9,9. My immediate supervisor/manager treats me with respect.,Unfavourable,4,4,407,
Manager Effectiveness,10,10. My immediate supervisor/manager encourages new ideas and new ways of doing things.,Unfavourable,4,9,407,
Retention Driver,0,Retention Driver,Unfavourable,4,11,407,
Retention Driver,7,"7. At the present time, are you seriously considering leaving Ball?",Unfavourable,4,11,407,
Safety,0,Safety,Unfavourable,4,7,407,
Safety,13,"13. Safety rules are carefully observed, even if it means work is slowed down.",Unfavourable,4,7,407,
Sustainable Engagement,0,Sustainable Engagement,Unfavourable,4,14,407,
Sustainable Engagement,4,4. I believe strongly in the goals and objectives of Ball.,Unfavourable,4,10,407,
Sustainable Engagement,5,5. There are no substantial obstacles at work to doing my job well.,Unfavourable,4,19,407,
Sustainable Engagement,6,6. I am able to sustain the level of energy I need throughout the work day.,Unfavourable,4,14,407,
Vision & Direction,0,Vision & Direction,Unfavourable,4,3,407,
